url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3081968762.html,Xiaomi,redmi note 14,,,,5G,,0,7,6750000,Hà Nội,https://img.lazcdn.com/g/p/aa1bdc9a0e878a4b1950f60fb0147d30.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3081244040.html,Unknown,,,,23800mAh,5G,,0,65,1021300,Hồ Chí Minh,https://img.lazcdn.com/g/p/a254e8c1c4db9d911c883a740dcc418f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3081213075.html,Unknown,,,,21000mAh,,,0,65,671300,Hồ Chí Minh,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3081195190.html,Redmi,note 13pr,8GB,128GB,5000 mAh,,,0,65,840000,Hồ Chí Minh,https://img.lazcdn.com/g/p/0ae58627d8a42f5390b5278cd0d5a660.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080958906.html,Unknown,,,,23800 mAh,,,0,65,986300,Hồ Chí Minh,https://img.lazcdn.com/g/p/28bcd5b0fedd6364f660f0ca0281250c.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080438230.html,Unknown,,,,,,,0,41,1355481,Hà Nội,https://img.lazcdn.com/g/p/286f1824ad890e91e960675cc04c6702.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080400342.html,Unknown,,,,,,,0,50,1233658,Hà Nội,https://img.lazcdn.com/g/p/b8e13d555053c3bfd9d74c72a6f5be39.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080344514.html,Unknown,,,,,,,0,48,1189314,Hà Nội,https://img.lazcdn.com/g/p/4d5c28e76998e14501f63ee6e0dc0497.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080342864.html,Samsung,galaxy s24 ultra,,,,5G,,0,0,22950000,Hà Nội,https://img.lazcdn.com/g/p/5b6aeb86746fe4b4ac1227cc33003591.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080289918.html,Samsung,galaxy s24 ultra,,,,5G,,0,0,20450000,Hà Nội,https://img.lazcdn.com/g/p/134cb611a2d90336e248828abd7cbe5a.jpg_200x200q80.avif
