url,name,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3139131380.html,Chính hãng S22 Ultra Smart Game bộ nhớ lớn 12+256GB Điện thoại 6.7inch WiFi 2 SIM Android máy ảnh HDgiá rẻ,Voucher giảm  50%,829.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/6735baa6efed6ebce04a87b5f3bbe71d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136342289.html,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",Voucher giảm  50%,700.000 ₫,Đăk Lăk,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139810693.html,"Oukitel WP32 Pro siêu bền(RAM 24Gb(6GB + 18GB),ROM 256GB,NFC,Màn hình 6.0 inch, Android 14,T606 Octa Core, OTG)",Voucher giảm  50%,1.159.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/3044e756ab9ee3bef13162d3d04a2b48.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136279346.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Voucher giảm  50%,800.000 ₫,Đăk Lăk,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136823237.html,"Oukitel WP28S Điện thoại SIÊU BỀN(chống nước,chống sốc,pin 10600mAh, Màn hình 6,52"" HD, Camera 13MP ,Android 14,NFC)",Voucher giảm  46%,1.090.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136658238.html,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Voucher giảm  50%,650.000 ₫,Lạng Sơn,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139039831.html,S24 Ultra 5G 16GB+1TB Phiên bản gốc 7.3 inch Pin dung lượng lớn 7800mAh Giá rẻ Vận chuyển miễn phí,Voucher giảm  50%,1.111.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/9a922c48669018657fe392edef654846.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2618496413.html,test测试  12+512GB điên thoại Thẻ 2 sim viettel giá rẻ giá rẻ học sinh Android Mobile Pin Lớn 5600mAh Bán giá rẻ Tiếng Việt dt giá rẻ,Voucher giảm  48%,994.628 ₫,Hà Nội,https://img.lazcdn.com/g/p/26f3c461d93b11a7c78a761effc91c6f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137047405.html,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Voucher giảm  50%,800.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137260233.html,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Voucher giảm  50%,950.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139928273.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Voucher giảm  50%,800.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i1653128273.html,"Điện thoại cảm ứng giá rẻ Samsung Galaxy J2 prime/G532 (1,5/8GB) 2 sim chính hãng màn hình lớn",Voucher giảm  7%,420.000 ₫,Yên Bái,https://img.lazcdn.com/g/p/d76f42e27822f7085eefd5efcbc0fbf4.png_200x200q80.avif
https://www.lazada.vn/products/pdp-i3134872237.html,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",,1.100.000 ₫,Tiền Giang,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3133781311.html,"Điện thoại SS 23ut máy 2sim ram 12G/512G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",,1.100.000 ₫,Tiền Giang,https://img.lazcdn.com/g/p/e170e944b99f815e25255d8df549d265.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3051561753.html,Điện thoại Realme C2 2SIM Cấu hình Ram 2/32G Màn hình tràn viền Pin Trâu,Voucher giảm  50%,695.466 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/e2cf29b6947eb9f52be54464d0267127.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136292664.html,"điện thoại 0PP0 Ren012 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Voucher giảm  50%,950.000 ₫,Đăk Lăk,https://img.lazcdn.com/g/p/31027d98f5daf81a4ec880ae102ea46f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139929713.html,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Voucher giảm  50%,700.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139074244.html,S23 Ultra HD điện thoại 7.3 inch bộ nhớ lớn 16 + 1TB Android điện thoại máy ảnh 48+108MP HD Pixel điện thoại di động,Voucher giảm  50%,928.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/6c801c701ec143648e423fcb82772dcc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2251997951.html,Hộp Thoại IDF 50 đôi đầy đủ đế gắn và phiến,,247.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/acbd3b20b7d6a1e4ab7979e1e368ea82.jpg_200x200q80.avif
